"File Path: C:\Users\Administrator\Desktop\Stefan_Data\Pilot_testing\Test Run 7 27-06-2022 13 49 02\DAQ- Time, … - (Timed).csv   
Test: DemineralizedBone_failure_test
Test Run: Test Run 7
Date: 27/06/2022 13:42:07

"
"Time ","Axial Force ","RL_20000A-100SS_load_cel ","Axial Displacement ","Xtens_longitudinal_mm ","Axial Count "
"sec","N","N","mm","mm","cycles"
"76.0302734375","2.2394106388092","2.60636806488037","0.00370704924534948","0.00162947173976136","0"
"76.0400390625","2.24242115020752","2.18243932723999","0.00410723168897675","0.00163815911946585","0"
"76.0498046875","1.80062139034271","2.56416845321655","0.00436985146734514","0.00174561148469365","0"
"76.0595703125","1.87095260620117","2.2447464466095","0.003610576641222","0.00182756787125982","0"
"76.0693359375","1.58041131496429","2.52630114555359","0.00435734591519577","0.00189854199561523","0"
"76.0791015625","2.12900352478027","2.25253319740295","0.00441808833784307","0.00193390246749914","0"
"76.0888671875","2.0838668346405","2.54720282554626","0.00441272823081817","0.00200340150513512","0"
"76.0986328125","2.41232562065125","2.24520969390869","0.00435377296525985","0.00202915066438436","0"
"76.1083984375","2.04572916030884","2.54833650588989","0.00468964026367757","0.0020271688754292","0"
"76.1181640625","1.69575333595276","2.28185057640076","0.00441630118075409","0.00209189943234378","0"
"76.1279296875","1.6865541934967","2.54271817207336","0.00483077610624605","0.00210438679459912","0"
"76.1376953125","1.6836553812027","2.32409834861755","0.00534529726792243","0.00216004241337941","0"
"76.1474609375","2.19518208503723","2.46029305458069","0.00458959493698785","0.00226703286898555","0"
"76.1572265625","2.07356405258179","2.37219786643982","0.00526311669091228","0.00226320321417006","0"
"76.1669921875","2.07056760787964","2.42657089233398","0.00586339092478738","0.00226499150812742","0"
"76.1767578125","2.15953087806702","2.40517520904541","0.00441272823081817","0.00229425722864107","0"
"76.1865234375","1.79306018352509","2.33410930633545","0.00566508560950751","0.00233165928875678","0"
"76.1962890625","1.63658058643341","2.42106223106384","0.00543462329005706","0.00248321885010228","0"
"76.2060546875","1.69407689571381","2.36070513725281","0.00599738041273667","0.0025894344162225","0"
"76.2158203125","2.15875577926636","2.4584972858429","0.00628858470008709","0.00255182385444641","0"
"76.2255859375","2.0224974155426","2.34763097763062","0.00615102180745453","0.00262182948063128","0"
"76.2353515625","1.88595962524414","2.47277021408081","0.00644937244942412","0.00266139204541105","0"
"76.2451171875","2.20664072036743","2.31810402870178","0.00616352781435126","0.00262340904555458","0"
"76.2548828125","2.39319062232971","2.53441190719604","0.00615459475739044","0.00269161159849318","0"
"76.2646484375","1.98012340068817","2.26341199874878","0.0065637104853522","0.00275568663710146","0"
"76.2744140625","2.03001308441162","2.56777715682983","0.00679953200233285","0.00281190864370728","0"
"76.2841796875","2.19855570793152","2.23516273498535","0.00713004010322038","0.00285133728539222","0"
"76.2939453125","2.32580709457397","2.61750245094299","0.00662802540318808","0.00292354820885521","0"
"76.3037109375","2.17473363876343","2.22277998924255","0.00741231224310468","0.00298386817121354","0"
"76.3134765625","1.49908244609833","2.61907005310059","0.00647259730612859","0.00305621324514505","0"
"76.3232421875","1.77383077144623","2.20696353912354","0.00728010854800232","0.00305506591757876","0"
"76.3330078125","2.08747816085815","2.64294052124023","0.00688528552927892","0.00305889557239425","0"
"76.3427734375","2.19893980026245","2.20859265327454","0.00734442392058554","0.00316676505462965","0"
"76.3525390625","2.15817952156067","2.64574813842773","0.0074819868132181","0.00320972503686789","0"
"76.3623046875","2.10172724723816","2.17060375213623","0.00781428025220521","0.00322888786286057","0"
"76.3720703125","2.07947325706482","2.6390163898468","0.00839668973640073","0.00327800216837204","0"
"76.3818359375","1.7845002412796","2.19650483131409","0.00736943547963165","0.00334261358148069","0"
"76.3916015625","1.89974093437195","2.63400340080261","0.00809655284683686","0.00341436270900886","0"
"76.4013671875","1.84830749034882","2.16836714744568","0.00806260868557729","0.00341287250194","0"
"76.4111328125","2.34567213058472","2.6444308757782","0.00853603887662757","0.00341872873832472","0"
"76.4208984375","2.32405734062195","2.17668008804321","0.00809834000392584","0.00342015914611693","0"
"76.4306640625","2.04259300231934","2.63775420188904","0.00779820220486727","0.00351044536728296","0"
"76.4404296875","1.83221423625946","2.22540402412415","0.008737916687096","0.00360581270797411","0"
"76.4501953125","2.15361833572388","2.6736626625061","0.00873434328241274","0.00360867375093221","0"
"76.4599609375","2.00530743598938","2.2726902961731","0.00875756904861191","0.00367097550224571","0"
"76.4697265625","2.38416242599487","2.60976052284241","0.00914703196031041","0.00373733041669766","0"
"76.4794921875","2.08272838592529","2.29522132873535","0.00882188396644779","0.00376683465219685","0"
"76.4892578125","2.11928033828735","2.58503079414368","0.00896480560186319","0.00379863377020229","0"
"76.4990234375","1.82843887805939","2.26316833496094","0.00927744895307114","0.00384244322049199","0"
"76.5087890625","1.65284144878387","2.61845254898071","0.00947039370657876","0.00386868396162754","0"
"76.5185546875","1.73312258720398","2.28531670570374","0.00912916675588349","0.00390417881135363","0"
"76.5283203125","2.17282676696777","2.60749673843384","0.0102743333627586","0.00400367389374878","0"
"76.5380859375","2.35357546806335","2.32536220550537","0.00942930364544736","0.00400491080654319","0"
"76.5478515625","1.95461785793304","2.56161308288574","0.00955614723352483","0.0040687023101782","0"
